??    1215.6701 0.416400  6.265E8  1.00 No ID !! MUST BE HERE Version:18.11.04
C IV  1548.2041 0.189900  2.642E8   M03 g w:Griesmann astro-ph/0004190
C IV  1550.7812 0.094750  2.628E8   M03 g w:Griesmann
N I   1200.7098 0.0432  4.00e8  14.00674  M03g
N I   1200.2233 0.0869  4.02e8  M03g
N I   1199.5496 0.1320  4.07e8  M03g
N I   1134.9803 0.0416  1.44e8  M03g
N I   1134.4149 0.0278  1.49e8  M03g
N I   1134.1653 0.0146  1.51e8  M03g
N I    965.0413 3.86E-3 8.16e7  M03g
N I    964.6256 7.90e-3 8.31e7  M03g
N I    963.9903 1.24e-2 8.55e7  M03g
N I    954.1042 4.00e-3 1.41e8  M03g
N I    953.9699 3.31e-2 2.03e8  M03g
N I    953.6549 2.47e-2 2.10e8  M03g
N I    953.4152 1.29e-2 2.19e8  M03g
N II  1083.9937 0.111   3.74e8  M03g
N II   915.6131 0.159   1.27e9  M03g
N III  989.799  0.123   5.00e8   M03g
N V   1238.821  0.1560  3.391e8   M03g
N V   1242.804  0.0770  3.356e8   M03g
O I   1355.5977 1.16e-6  5.56E3  15.9994  M03 g
O I   1302.1685 0.048000  5.650e8  M03 g
O I   1039.2304 0.00907  1.87E8   M03 g
O I   1026.4757 8.71e-8  4.58E7   M03 g plus two even weaker
O I   1025.7616 0.0163  1.02E8   M03 g plus two weaker
O I    988.7734 0.0465  2.26E8  M03
O I    988.6549 0.0083  5.66E7  M03
O I    988.5778 0.000553  6.29E6  M03
O I    976.4481 0.003310  8.010e7  M03 gM91
O I    971.7382 0.0116  8.58e7  M03
O I    971.7376 0.00207  1.46e7  M03
O I    971.7371 0.000138 1.63e6  M03
O I    950.8846 1.58e-3 3.876e7  M03 gM91
O I    948.6855 6.31e-3 2.900e7  M03 gM91
O I    937.8405 8.77e-4 1.102e7  M03 gM91
O I    936.6295 3.65e-3 1.704e7  M03 gM91
O I    930.2566 5.37e-4 6.90E6   M03
O I    929.5168 2.29e-3 1.00E7   M03
O I    925.446  3.54E-4 4.60E6   M03
O I    924.950  1.54e-3 1.00E7   M03
O I    922.200  2.45e-4 3.21e6   M03
O I    921.857  1.08e-3 1.00E7   M03
O I    919.917  1.77e-4 2.33e6   M03
O I    919.658  7.92e-4 1.00E7   M03
O I    919.222  1.32e-4 1.74e6   M03
O I    918.044  6.14e-4 1.00E7   M03
O I    916.960  1.01e-4 1.33e6   M03
O I    916.815  4.74e-4 1.00E7   M03 ..and more, but with high Lyman series.
O I*  1304.8576 0.0478  5.650e8  M03g
O I** 1306.0286 0.0478  5.650e8  M03g
O II  834.4655 0.132 2.000E8  VBT
O II  833.3294 0.0886 2.00E8  VBT
O II  832.7572 0.0444 2.00E8  VBT
O III 832.927 0.107 2.000E8   VBT
O III 702.332 0.137 2.000E8   VBT
O IV  787.711 0.110 2.000E8   VBT
O VI  1031.9261 0.13250  4.149e8  M03g
O VI  1037.6167 0.06580  4.076e8  M03g
O VII 21.60169 0.696 3.32E12
O VII 18.62799 0.146 9.35E11
NeVIII 780.324 0.050500  1.000e8  VBT
NeVIII 770.409 0.103000  1.000e8  VBT
NaI   5891.5833 0.6408 6.157e7 22.989768 M03g
NaI   5897.5581 0.3201 6.139e7  M03g
NaI   3303.369 0.00920 9.641e6 M03 M91g
NaI   3303.978 0.00460 9.639e6 M03 M91g
NaI   2853.012 6.77e-4 5.54e5  M03
NaI   2852.811 1.35e-3 5.54e5  M03
MgI   2852.963108 1.830000  5.000e8 24.3050 M03g w:MN 300,131
MgI   2026.4768 0.113 6.12e7  M03 
MgI   1827.9351 0.024200  1.610e7  M03
MgI   1747.7937 0.00908   6.61e6   M03
MgI   1707.0606 0.00437   3.330e6  M03
MgII  2796.3543 0.6155  2.625e8  w:MN 300,131 M03g
MgII  2803.5315 0.3058  2.595e8  w:MN 300,131 M03g
MgII  1240.3947 0.000356  1.54e6 M03
MgII  1239.9253 0.000632  1.37e6 M03
MgII  1026.1134 3.92e-4   2.48e6 M03
MgII  1025.9681 7.43e-4   2.35e6 M03
MgIIa 2796.3553 0.6155 2.625e8 M03 24Mg isotope
MgIIa 2803.5324 0.3058 2.595e8 M03 24Mg
